anime_id,num_views
1,10175
5,4530
6,5824
7,1134
8,196
15,1428
16,2269
17,324
18,1185
19,3084
20,13405
21,197
22,1663
23,40
24,3602
25,1103
26,1289
27,1890
28,997
29,150
30,12510
31,3651
32,8815
33,3750
43,6284
44,3106
45,3761
46,943
47,6466
48,2385
49,888
50,1954
51,812
52,925
53,1319
54,1417
55,174
56,245
57,2945
58,663
59,5779
60,2539
61,2454
62,1194
63,2308
64,3384
65,2388
66,4092
67,1544
68,2942
69,97
71,5811
72,4711
73,4157
74,1017
75,516
76,2053
77,1677
79,3762
80,1439
81,1236
82,959
83,349
84,733
85,967
86,565
87,802
88,543
89,342
90,2219
91,1013
92,433
93,2632
94,1880
95,476
96,976
97,2186
98,1646
99,908
100,684
101,4632
102,1307
103,103
104,533
105,260
106,375
107,451
108,249
109,903
110,175
111,210
112,170
113,393
114,2049
115,155
116,204
117,266
118,162
119,694
120,4637
121,12714
122,1006
123,900
124,286
125,611
126,514
127,282
128,174
129,521
130,341
131,227
132,1255
133,1795
134,2161
135,1286
136,3268
137,1787
138,1914
139,1792
141,145
142,628
143,1019
144,908
145,1588
146,969
147,2189
148,104
149,1543
150,3270
151,396
152,428
153,1034
154,3495
155,737
156,1021
157,1903
158,702
159,207
160,1330
161,660
162,393
163,161
164,9414
165,1445
166,1432
167,1125
168,1252
169,2291
170,1484
171,51
173,396
174,2181
175,361
176,148
177,2558
178,435
179,140
180,1323
181,1051
182,1737
183,155
184,302
185,1762
186,1464
187,1302
188,36
189,3889
190,2130
191,1598
192,1485
193,1480
194,806
195,2759
196,1668
197,402
198,1141
199,13975
200,209
201,419
202,2747
203,122
204,435
205,8234
206,275
207,632
208,1424
209,1001
210,1888
211,74
212,242
213,33
214,33
215,37
216,35
217,39
218,641
219,335
220,31
221,516
222,284
223,7367
225,5829
226,13808
227,9082
228,2948
229,568
230,360
231,82
232,4256
233,211
234,60
235,56
236,180
237,4849
238,675
239,2075
240,2962
241,1952
242,584
243,1416
244,76
245,4754
246,1003
247,161
248,1715
249,4791
250,911
251,750
252,457
253,477
254,319
255,262
256,3316
257,2017
258,263
259,227
260,429
261,255
262,156
263,2889
264,1667
265,1451
266,203
267,1451
268,3265
269,7952
270,5987
271,142
272,1169
273,289
274,737
275,454
276,942
277,635
278,186
279,373
280,10
281,442
282,110
283,214
284,157
285,210
286,93
287,444
288,2023
289,338
290,751
291,726
292,285
293,408
294,147
295,95
296,259
297,841
298,1304
299,705
300,353
301,100
302,365
303,313
304,832
305,73
306,1162
307,14
308,163
309,42
310,32
311,95
312,11
313,56
314,14
315,50
316,84
317,4558
318,474
319,162
320,937
321,260
322,1759
323,3391
324,296
325,795
326,787
327,182
328,112
329,1942
330,2406
331,118
332,45
333,43
334,307
335,542
336,117
337,163
338,621
339,5094
340,264
341,737
342,251
343,888
344,174
345,456
346,218
347,93
348,299
349,58
350,599
351,305
352,253
353,188
354,148
355,7198
356,9220
357,3635
358,467
359,125
360,70
361,90
362,63
363,55
364,101
365,289
366,480
367,43
368,760
369,868
370,152
371,2035
372,2163
373,153
374,57
375,72
376,4098
377,160
378,97
379,1319
380,361
381,314
382,611
383,408
384,3278
385,265
386,73
387,2868
388,212
389,1112
390,1465
391,456
392,3738
393,898
394,937
395,2394
396,565
397,483
398,399
399,70
400,1552
401,1388
402,37
403,508
404,529
405,2108
406,167
407,324
408,1505
411,875
412,1478
413,1822
415,563
416,2564
417,769
418,508
419,632
420,446
421,178
422,81
423,89
424,193
425,114
426,201
427,884
428,371
429,304
430,6056
431,10032
432,263
433,3199
434,144
435,809
437,3866
438,288
439,153
440,1686
441,997
442,4114
443,1249
444,501
445,274
446,103
447,178
448,957
449,1364
450,1621
451,1484
452,1547
454,513
455,273
456,252
457,5468
458,105
459,1827
460,1609
461,1504
462,1562
463,1458
464,1498
465,1313
466,853
467,4121
468,2912
469,2180
470,323
471,319
472,384
473,117
474,784
475,123
476,679
477,1980
478,1146
479,1194
481,4026
482,2236
483,267
484,144
485,198
486,2344
487,1518
488,1436
489,793
490,893
491,18
492,284
493,223
495,156
496,68
497,418
498,67
499,232
501,246
502,1177
503,90
504,203
505,87
506,57
507,546
508,752
509,575
510,43
511,58
512,5446
513,4899
514,977
515,86
516,285
517,1487
518,39
519,439
520,130
521,573
522,1459
523,8133
524,812
525,131
526,160
527,5474
528,4979
529,1245
530,3379
531,1011
532,1852
533,111
534,1549
535,1068
536,581
537,363
538,593
539,843
540,568
541,394
543,1636
544,155
545,31
546,155
547,56
548,639
550,2730
551,307
552,6031
553,600
554,411
555,251
556,135
557,173
558,872
559,191
560,286
561,222
562,44
563,569
564,761
565,1470
566,539
567,1099
568,427
569,399
570,1979
571,38
572,4721
573,448
574,61
576,597
577,132
578,5356
579,728
580,200
581,177
582,97
584,1046
585,2914
586,823
587,1891
588,328
589,197
590,487
591,1143
592,27
593,474
594,1795
595,352
596,1271
597,3035
598,146
599,66
600,181
601,1310
602,24
603,520
604,132
605,48
606,165
607,47
608,93
609,412
610,399
611,27
612,98
613,65
614,109
615,341
616,27
617,1437
618,391
619,82
620,262
621,206
622,188
623,35
624,292
625,35
626,103
627,967
629,145
630,123
631,286
632,149
633,102
634,987
635,249
636,147
637,339
641,515
642,536
644,848
645,417
646,58
647,56
648,134
649,383
650,506
651,543
652,226
653,201
654,95
655,140
656,1381
658,1353
659,1234
660,61
661,45
664,801
665,704
666,730
667,862
668,201
669,328
670,637
671,133
673,331
675,59
676,32
677,28
678,132
679,94
681,54
682,160
683,38
684,72
685,174
686,65
687,1282
688,429
689,210
690,280
691,74
692,18
693,131
694,440
695,167
696,1000
704,367
705,88
706,177
707,87
708,57
709,244
710,2275
711,67
712,260
713,1392
714,22
715,89
718,111
719,469
721,1598
722,105
723,60
724,357
725,65
727,7
729,27
730,130
731,1430
732,1004
733,151
734,104
736,251
738,453
740,2124
741,742
743,864
744,44
746,750
747,344
748,73
749,25
750,194
751,35
752,161
753,80
754,29
755,241
756,846
757,62
758,377
759,3150
760,440
761,1678
762,2541
763,810
764,554
765,73
766,206
767,150
769,180
770,2134
771,75
773,61
776,123
777,5278
779,1207
780,1061
781,1042
782,173
783,79
785,581
786,101
788,631
789,859
790,4548
791,92
792,467
793,1321
795,231
796,31
797,241
798,164
799,75
800,399
801,2885
807,1051
808,98
810,36
811,485
812,395
813,9000
814,419
815,548
816,144
817,158
818,170
819,839
820,1114
821,419
822,548
823,65
824,117
825,319
827,82
828,34
830,308
831,275
832,20
833,226
834,2370
835,127
836,286
837,814
838,446
839,49
840,306
841,387
842,98
844,150
845,772
846,2565
848,65
849,12744
850,680
851,115
852,72
853,8822
854,327
855,1521
856,1705
857,4159
858,38
859,1215
860,718
861,2862
863,544
864,263
865,25
866,418
867,395
868,422
869,433
870,411
872,340
873,1173
874,3358
875,1059
876,334
877,2762
878,428
879,491
880,1075
881,646
882,505
883,536
884,381
885,1104
886,963
887,122
888,394
889,7596
890,181
891,1027
892,991
893,1000
894,2185
895,2010
896,2143
897,1944
898,2195
899,2105
900,1950
901,2392
902,1870
903,2038
904,1888
905,2071
906,1858
907,882
908,1439
909,205
910,331
911,118
912,33
913,35
914,123
915,149
916,601
917,319
918,3775
919,133
920,186
921,197
924,38
925,52
926,38
927,125
928,117
929,48
930,116
932,357
933,543
934,7422
935,1206
936,3188
937,470
938,119
940,994
941,424
942,177
943,113
944,255
949,2115
950,278
951,117
952,80
953,899
956,20
957,578
958,195
959,61
960,33
961,104
962,1223
963,1087
964,123
965,65
966,107
967,539
968,26
969,1868
970,103
971,307
972,477
974,1449
975,619
976,438
977,101
978,196
979,337
980,51
981,687
982,223
983,67
984,834
985,1659
986,1814
987,1281
988,6
989,17
990,797
991,115
992,259
993,132
994,73
995,889
996,1353
997,887
998,274
999,107
1000,274
1001,48
1002,1680
1003,576
1004,2627
1005,211
1006,487
1007,488
1008,358
1009,89
1010,338
1011,352
1012,36
1014,119
1015,1695
1016,673
1017,380
1018,184
1019,201
1020,114
1021,80
1022,98
1023,1201
1024,83
1025,292
1026,53
1027,42
1028,187
1029,1254
1030,1154
